"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"13000-5",Mandelate [Mass/volume] in Urine,Mandelate,MCnc,Pt,Urine,Qn,
"17241-1",Prolactin [Mass/volume] in Serum or Plasma --3 hours post XXX challenge,Prolactin^3H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"48100-2",Cortisol [Mass/volume] in Serum or Plasma --15 minutes pre 1 ug/kg CRH IV,Cortisol^15M pre 1 ug/kg CRH IV,MCnc,Pt,Ser/Plas,Qn,
"53748-0",Lupus anticoagulant neutralization dilute phospholipid [Time] in Platelet poor plasma,Lupus anticoagulant neutralization.dilute phospholipid,Time,Pt,PPP,Qn,
"44802-7",Enolase.neuron specific [Mass/volume] in Cerebral spinal fluid,Enolase.neuron specific,MCnc,Pt,CSF,Qn,
"48092-1",Corticotropin [Mass/volume] in Plasma --12 PM specimen,Corticotropin^12 PM specimen,MCnc,Pt,Plas,Qn,
"45050-2",Cortisol [Moles/volume] in Serum or Plasma --8 AM specimen,Cortisol^8 AM specimen,SCnc,Pt,Ser/Plas,Qn,
"30993-0",Aspergillus fumigatus recombinant (rAsp f) 6 IgE Ab [Units/volume] in Serum,Aspergillus fumigatus recombinant (rAsp f) 6 Ab.IgE,ACnc,Pt,Ser,Qn,
"27057-9",Serotonin [Mass/volume] in Serum,Serotonin,MCnc,Pt,Ser,Qn,
"12567-4",Cortisol [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,Cortisol^1H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"40435-0",Fungus identified in Urine by Culture,Fungus identified,Prid,Pt,Urine,Nom,Culture
"11161-7",Wheat Bran IgE Ab [Units/volume] in Serum,Bran wheat Ab.IgE,ACnc,Pt,Ser,Qn,
"33762-6",Natriuretic peptide.B prohormone [Mass/volume] in Serum or Plasma,Natriuretic peptide.B prohormone,MCnc,Pt,Ser/Plas,Qn,
"46409-9",Somatotropin [Mass/volume] in Serum or Plasma --15 minutes post dose arginine,Somatotropin^15M post dose arginine,MCnc,Pt,Ser/Plas,Qn,
"1360-7",Corticotropin [Mass/volume] in Plasma --1 hour post dose insulin IV,Corticotropin^1H post dose insulin IV,MCnc,Pt,Plas,Qn,
"47891-7",Somatotropin [Units/volume] in Serum or Plasma --15 minutes post dose growth hormone releasing factor,Somatotropin^15M post dose growth hormone releasing factor,ACnc,Pt,Ser/Plas,Qn,
"29316-7",Thyrotropin [Units/volume] in Serum or Plasma --30 minutes post XXX challenge,Thyrotropin^30M post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"58655-2",Cortisol [Mass/volume] in Serum or Plasma --2 PM specimen,Cortisol^2 PM specimen,MCnc,Pt,Ser/Plas,Qn,
"50431-6",Cortisol [Mass/volume] in Serum or Plasma --6 PM specimen,Cortisol^6 PM specimen,MCnc,Pt,Ser/Plas,Qn,
"50501-6",Insulin [Units/volume] in Serum or Plasma --1st specimen,Insulin^1st specimen,ACnc,Pt,Ser/Plas,Qn,
"13033-6",C peptide [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,C peptide^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"16501-9",C peptide [Mass/volume] in Serum or Plasma --7th specimen post XXX challenge,C peptide^7th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"741-9",Microcytes [Presence] in Blood by Light microscopy,Microcytes,ACnc,Pt,Bld,Ord,Microscopy.light
"1869-7",Apolipoprotein A-I [Mass/volume] in Serum or Plasma,Apolipoprotein A-I,MCnc,Pt,Ser/Plas,Qn,
"25598-4",Cladosporium cladosporioides IgG Ab [Units/volume] in Serum,Cladosporium cladosporioides Ab.IgG,ACnc,Pt,Ser,Qn,
"30999-7",Timothy recombinant (rPhl p) 7 IgE Ab [Units/volume] in Serum,Phleum pratense recombinant (rPhl p) 7 Ab.IgE,ACnc,Pt,Ser,Qn,
"49327-0",Androstenedione [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,Androstenedione^1H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"2962-9",Somatotropin [Mass/volume] in Amniotic fluid,Somatotropin,MCnc,Pt,Amnio fld,Qn,
"2923-1",Retinol [Mass/volume] in Serum or Plasma,Retinol,MCnc,Pt,Ser/Plas,Qn,
"27975-2",Thyrotropin [Mass/volume] in Serum or Plasma,Thyrotropin,MCnc,Pt,Ser/Plas,Qn,
"58815-2","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --2nd specimen","17-Hydroxyprogesterone^2nd specimen",MCnc,Pt,Ser/Plas,Qn,
"43151-0",Glucose meter device panel,Glucose meter device panel,-,Pt,^Patient,-,
"12176-4",Amino acids [Moles/volume] in Serum or Plasma,Amino acids,SCnc,Pt,Ser/Plas,Qn,
"47659-8",Insulin [Units/volume] in Serum or Plasma --2 hours post dose glucose,Insulin^2H post dose glucose,ACnc,Pt,Ser/Plas,Qn,
"12891-8",Borrelia burgdorferi 41kD Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 41kD Ab,ACnc,Pt,Ser,Ord,IB
"28002-4",Borrelia burgdorferi 39kD Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 39kD Ab,ACnc,Pt,Ser,Ord,IB
"27882-0",Proinsulin [Moles/volume] in Serum or Plasma,Proinsulin,SCnc,Pt,Ser/Plas,Qn,
"51306-9",CD4+CD7- cells/100 cells in Blood,Cells.CD4+CD7-/100 cells,NFr,Pt,Bld,Qn,
"51361-4",CD61 cells/100 cells in Bone marrow,Cells.CD61/100 cells,NFr,Pt,Bone mar,Qn,
"4983-3",HLA-DR4 [Presence],HLA-DR4,ACnc,Pt,Bld,Ord,
"13305-8",HLA-DQ [Type],HLA-DQ,Type,Pt,Bld,Nom,
"35471-2",HLA Ab [Presence],HLA Ab,ACnc,Pt,Bld,Ord,
"26974-6",Delta aminolevulinate [Mass/volume] in 24 hour Urine,Delta aminolevulinate,MCnc,"24H",Urine,Qn,
"52873-7",CD1a cells/100 cells in Body fluid,Cells.CD1a/100 cells,NFr,Pt,Body fld,Qn,
"17178-5",CD6 cells/100 cells in Blood,Cells.CD6/100 cells,NFr,Pt,Bld,Qn,
"18268-3",CD16+CD56+ cells/100 cells in Body fluid,Cells.CD16+CD56+/100 cells,NFr,Pt,Body fld,Qn,
"42193-3",CD3 cells/100 cells in Cerebral spinal fluid,Cells.CD3/100 cells,NFr,Pt,CSF,Qn,
"17129-8",CD28 cells/100 cells in Blood,Cells.CD28/100 cells,NFr,Pt,Bld,Qn,
"41215-5",Yeast [#/area] in Urine sediment by Microscopy low power field,Yeast,Naric,Pt,Urine sed,Qn,Microscopy.light.LPF
"51232-7",CD11c cells/100 cells in Body fluid,Cells.CD11c/100 cells,NFr,Pt,Body fld,Qn,
"17183-5",CD64 cells/100 cells in Blood,Cells.CD64/100 cells,NFr,Pt,Bld,Qn,
"51247-5",CD14 cells/100 cells in Cerebral spinal fluid,Cells.CD14/100 cells,NFr,Pt,CSF,Qn,
"56818-8",Problem description [Identifier],Problem description,Prid,Pt,^Patient,Nom,
"16362-6",Ammonia [Moles/volume] in Plasma,Ammonia,SCnc,Pt,Plas,Qn,
"31017-7",Tissue transglutaminase IgA Ab [Units/volume] in Serum,Tissue transglutaminase Ab.IgA,ACnc,Pt,Ser,Qn,
"50959-6",Indirect antiglobulin test.unspecified reagent [Presence] in Serum or Plasma,Indirect antiglobulin test.XXX reagent,ACnc,Pt,Ser/Plas,Ord,
"13993-1",Alpha 2 globulin/Protein.total in Urine by Electrophoresis,Alpha 2 globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis
"15210-8",Thyroglobulin Ab [Presence] in Serum,Thyroglobulin Ab,ACnc,Pt,Ser,Ord,
"14918-7",Thyroglobulin [Moles/volume] in Serum or Plasma,Thyroglobulin,SCnc,Pt,Ser/Plas,Qn,
"20478-4",CD61 cells/100 cells in Blood,Cells.CD61/100 cells,NFr,Pt,Bld,Qn,
"51290-5",CD30 cells/100 cells in Body fluid,Cells.CD30/100 cells,NFr,Pt,Body fld,Qn,
"51355-6",CD19+CD58+ cells/100 cells in Body fluid,Cells.CD19+CD58+/100 cells,NFr,Pt,Body fld,Qn,
"20420-6",Prostatic acid phosphatase [Mass/volume] in Serum,Acid phosphatase.prostatic,MCnc,Pt,Ser,Qn,
"51254-1",CD16+CD56+ cells/100 cells in Cerebral spinal fluid,Cells.CD16+CD56+/100 cells,NFr,Pt,CSF,Qn,
"51327-5",CD42b cells/100 cells in Bone marrow,Cells.CD42b/100 cells,NFr,Pt,Bone mar,Qn,
"14165-5",Lactate [Moles/volume] in Body fluid,Lactate,SCnc,Pt,Body fld,Qn,
"51270-7",CD25 cells/100 cells in Cerebral spinal fluid,Cells.CD25/100 cells,NFr,Pt,CSF,Qn,
"8106-7",CD1 cells/100 cells in Blood,Cells.CD1/100 cells,NFr,Pt,Bld,Qn,
"51376-2",CD9 cells/100 cells in Bone marrow,Cells.CD9/100 cells,NFr,Pt,Bone mar,Qn,
"42868-0",CD11c+CD19+ cells/100 cells in Bone marrow,Cells.CD11c+CD19+/100 cells,NFr,Pt,Bone mar,Qn,
"3735-8",Maprotiline [Mass/volume] in Serum or Plasma,Maprotiline,MCnc,Pt,Ser/Plas,Qn,
"16746-0",Nortrimipramine [Mass/volume] in Serum or Plasma,Nortrimipramine,MCnc,Pt,Ser/Plas,Qn,
"9558-8",CD20 cells [#/volume] in Blood,Cells.CD20,NCnc,Pt,Bld,Qn,
"52759-8",Prekallikrein (Fletcher Factor) activity actual/normal in Platelet poor plasma by Coagulation assay,Prekallikrein activity actual/Normal,RelTime,Pt,PPP,Qn,Coag
"20484-2",Cardiolipin IgG Ab [Titer] in Serum,Cardiolipin Ab.IgG,Titr,Pt,Ser,Qn,
"32740-3",Beta 1 globulin/Protein.total in Body fluid by Electrophoresis,Beta 1 globulin/Protein.total,MFr,Pt,Body fld,Qn,Electrophoresis
"49391-6",Herpes virus 6 DNA [#/volume] (viral load) in Blood by Probe and target amplification method,Herpes virus 6 DNA,NCnc,Pt,Bld,Qn,Probe.amp.tar
"32366-7",Hepatitis B virus genotype [Identifier] in Serum or Plasma by Probe and target amplification method,Hepatitis B virus genotype,Prid,Pt,Ser/Plas,Nom,Probe.amp.tar
"9645-3",Metanephrine/Creatinine [Mass ratio] in Urine,Metanephrine/Creatinine,MCrto,Pt,Urine,Qn,
"9711-3",Coxiella burnetii phase 2 IgM Ab [Titer] in Serum,Coxiella burnetii phase 2 Ab.IgM,Titr,Pt,Ser,Qn,
"8088-7",PCNA extractable nuclear Ab [Presence] in Serum,PCNA extractable nuclear Ab,ACnc,Pt,Ser,Ord,
"28036-2",Borrelia burgdorferi 39kD IgG Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),Borrelia burgdorferi 39kD Ab.IgG,ACnc,Pt,CSF,Ord,IB
"12863-7",Borrelia burgdorferi 41kD Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),Borrelia burgdorferi 41kD Ab,ACnc,Pt,CSF,Ord,IB
"3665-7",Gentamicin [Mass/volume] in Serum or Plasma --trough,Gentamicin^trough,MCnc,Pt,Ser/Plas,Qn,
"189-1",Clarithromycin [Susceptibility] by Minimum inhibitory concentration (MIC),Clarithromycin,Susc,Pt,Isolate,OrdQn,MIC
"42949-8",Toxoplasma gondii Ab [Titer] in Serum,Toxoplasma gondii Ab,Titr,Pt,Ser,Qn,
"50648-5",Latex recombinant (rHev b) 6.01 IgE Ab [Units/volume] in Serum,Latex recombinant (rHev b) 6.01 Ab.IgE,ACnc,Pt,Ser,Qn,
"58774-1",Alternaria alternata recombinant (rAlt a) 1 IgE Ab [Units/volume] in Serum,Alternaria alternata recombinant (rAlt a) 1 Ab.IgE,ACnc,Pt,Ser,Qn,
"6652-2",Meropenem [Susceptibility] by Minimum inhibitory concentration (MIC),Meropenem,Susc,Pt,Isolate,OrdQn,MIC
"7900-4",Helicobacter pylori Ab [Units/volume] in Serum,Helicobacter pylori Ab,ACnc,Pt,Ser,Qn,
"9571-1",Parvovirus B19 DNA [Presence] in Unspecified specimen by Probe and target amplification method,Parvovirus B19 DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"20392-7",Sample icteric [Presence] of Serum or Plasma,Sample icteric,ACnc,Pt,Ser/Plas,Ord,
"60238-3",European Ash IgE Ab [Units/volume] in Serum,Fraxinus excelsior Ab.IgE,ACnc,Pt,Ser,Qn,
"58754-3",Olive pollen native (nOle e) 1 IgE Ab [Units/volume] in Serum,Olea europaea native (nOle e) 1 Ab.IgE,ACnc,Pt,Ser,Qn,
"56882-4",Pellitory (judaica) recombinant (rPar j) 2 IgE Ab [Units/volume] in Serum,Parietaria judaica recombinant (rPar j) 2 Ab.IgE,ACnc,Pt,Ser,Qn,
"13925-3",Cytokeratin Ab [Presence] in Serum,Cytokeratin Ab,ACnc,Pt,Ser,Ord,
"412-7",Piperacillin+Tazobactam [Susceptibility] by Minimum inhibitory concentration (MIC),Piperacillin+Tazobactam,Susc,Pt,Isolate,OrdQn,MIC
"516-5",Trimethoprim+Sulfamethoxazole [Susceptibility] by Minimum inhibitory concentration (MIC),Trimethoprim+Sulfamethoxazole,Susc,Pt,Isolate,OrdQn,MIC
"496-0",Tetracycline [Susceptibility] by Minimum inhibitory concentration (MIC),Tetracycline,Susc,Pt,Isolate,OrdQn,MIC
"29615-2",Hepatitis B virus DNA [#/volume] (viral load) in Serum or Plasma by Probe and target amplification method,Hepatitis B virus DNA,NCnc,Pt,Ser/Plas,Qn,Probe.amp.tar
"32155-4",Basophils+Eosinophils+Monocytes/100 leukocytes in Blood by Automated count,Basophils+Eosinophils+Monocytes/100 leukocytes,NFr,Pt,Bld,Qn,Automated count
"26776-5",Quetiapine [Mass/volume] in Serum or Plasma,Quetiapine,MCnc,Pt,Ser/Plas,Qn,
"29236-7",Herpes simplex virus 2 Ab [Units/volume] in Body fluid,Herpes simplex virus 2 Ab,ACnc,Pt,Body fld,Qn,
"54025-2",Nuclear pore protein gp210 Ab [Presence] in Serum,Nuclear pore protein gp210 Ab,ACnc,Pt,Ser,Ord,
"32733-8",Beta 2 globulin/Protein.total in Serum or Plasma by Electrophoresis,Beta 2 globulin/Protein.total,MFr,Pt,Ser/Plas,Qn,Electrophoresis
"14196-0",Reticulocytes [#/volume] in Blood,Reticulocytes,NCnc,Pt,Bld,Qn,
"6968-2",Proteinase 3 Ab [Units/volume] in Serum,Proteinase 3 Ab,ACnc,Pt,Ser,Qn,
"16131-5",Herpes simplex virus 2 DNA [Presence] in Unspecified specimen by Probe and target amplification method,Herpes simplex virus 2 DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"43848-1",Chlamydia trachomatis IgG Ab [Presence] in Serum,Chlamydia trachomatis Ab.IgG,ACnc,Pt,Ser,Ord,
"22500-3",Measles virus IgG Ab [Units/volume] in Cerebral spinal fluid,Measles virus Ab.IgG,ACnc,Pt,CSF,Qn,
"47904-8",Somatotropin [Units/volume] in Serum or Plasma --2 hours post dose growth hormone releasing factor,Somatotropin^2H post dose growth hormone releasing factor,ACnc,Pt,Ser/Plas,Qn,
"50113-0","3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in Dried blood spot","3-Hydroxyoleoylcarnitine (C18:1-OH)",SCnc,Pt,Bld.dot,Qn,
"51033-9",CD11a blasts/100 blasts in Unspecified specimen,Blasts.CD11a/100 blasts,NFr,Pt,XXX,Qn,
"17552-1",Rubella virus IgM Ab [Presence] in Cerebral spinal fluid,Rubella virus Ab.IgM,ACnc,Pt,CSF,Ord,
"50018-1",Cytomegalovirus IgG Ab [Presence] in Body fluid,Cytomegalovirus Ab.IgG,ACnc,Pt,Body fld,Ord,
"31714-9",Adenovirus Ag [Presence] in Unspecified specimen,Adenovirus Ag,ACnc,Pt,XXX,Ord,
"58511-7",C peptide [Mass/volume] in Serum or Plasma --3 hours post dose glucose,C peptide^3H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"31859-2",Influenza virus A Ag [Presence] in Unspecified specimen,Influenza virus A Ag,ACnc,Pt,XXX,Ord,
"31924-4",Parainfluenza virus 1 Ag [Presence] in Unspecified specimen,Parainfluenza virus 1 Ag,ACnc,Pt,XXX,Ord,
"26598-3",Sarcosine [Moles/volume] in Cerebral spinal fluid,Sarcosine,SCnc,Pt,CSF,Qn,
"26737-7",Phosphoserine [Moles/volume] in Cerebral spinal fluid,Phosphoserine,SCnc,Pt,CSF,Qn,
"50544-6",Everolimus [Mass/volume] in Blood,Everolimus,MCnc,Pt,Bld,Qn,
"26584-3","1-Methylhistidine [Moles/volume] in Cerebral spinal fluid","1-Methylhistidine",SCnc,Pt,CSF,Qn,
"26593-4",Ethanolamine [Moles/volume] in Cerebral spinal fluid,Ethanolamine,SCnc,Pt,CSF,Qn,
"5092-2",Clostridium tetani Ab [Units/volume] in Serum,Clostridium tetani Ab,ACnc,Pt,Ser,Qn,
"45647-5",Arthritis Minimum Data Set,Arthritis,Find,Pt,^Patient,Ord,MDS
"55794-2",Other cells [#] in Cerebral spinal fluid by Manual count,Other cells,Num,Pt,CSF,Qn,Manual count
"3457-9",Chlordiazepoxide [Mass/volume] in Serum or Plasma,Chlordiazepoxide,MCnc,Pt,Ser/Plas,Qn,
"33627-1",Tenofovir [Susceptibility],Tenofovir,Susc,Pt,Isolate,OrdQn,
"49331-2",Renin [Enzymatic activity/volume] in Plasma --2 hours post XXX challenge,Renin^2H post XXX challenge,CCnc,Pt,Plas,Qn,
"16757-7",Diazepam+Nordiazepam [Mass/volume] in Serum or Plasma,Diazepam+Nordiazepam,MCnc,Pt,Ser/Plas,Qn,
"24381-6",Platelet aggregation arachidonate induced [Presence] in Platelet rich plasma,Platelet aggregation.arachidonate induced,ACnc,Pt,PRP,Ord,
"29572-5",Phenylalanine [Mass/volume] in Dried blood spot,Phenylalanine,MCnc,Pt,Bld.dot,Qn,
"1488-6",Gastrin [Mass/volume] in Serum or Plasma --30 minutes post 0.2 U/kg secretin,Gastrin^30M post 0.2 U/kg secretin,MCnc,Pt,Ser/Plas,Qn,
"53170-7",Tiglylcarnitine (C5:1) [Moles/volume] in Dried blood spot,Tiglylcarnitine (C5:1),SCnc,Pt,Bld.dot,Qn,
"45199-7",Dodecanoylcarnitine (C12) [Moles/volume] in Dried blood spot,Dodecanoylcarnitine (C12),SCnc,Pt,Bld.dot,Qn,
"50281-5","3-Hydroxytetradecanoylcarnitine (C14-OH) [Moles/volume] in Dried blood spot","3-Hydroxytetradecanoylcarnitine (C14-OH)",SCnc,Pt,Bld.dot,Qn,
"42830-0",Alcohol abuse CCC,Alcohol abuse,Find,Pt,^Patient,Ord,Observed.CCC
"33253-6",Nuclear Ab [Titer] in Serum by Hep2 substrate,Nuclear Ab,Titr,Pt,Ser,Qn,Hep2 substrate
"13729-9",Deoxypyridinoline/Creatinine [Mass ratio] in Urine,Deoxypyridinoline/Creatinine,MCrto,Pt,Urine,Qn,
"51246-7",CD138 cells/100 cells in Cerebral spinal fluid,Cells.CD138/100 cells,NFr,Pt,CSF,Qn,
"22312-3",Hepatitis A virus Ab [Units/volume] in Serum,Hepatitis A virus Ab,ACnc,Pt,Ser,Qn,
"14211-7",Hepatitis E virus IgG Ab [Presence] in Serum,Hepatitis E virus Ab.IgG,ACnc,Pt,Ser,Ord,
"12841-3",Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma,Prostate specific Ag.free/Prostate specific Ag.total,MFr,Pt,Ser/Plas,Qn,
"2589-0",Lysozyme [Mass/volume] in Serum or Plasma,Lysozyme,MCnc,Pt,Ser/Plas,Qn,
"5113-6",Coxsackievirus B6 Ab [Titer] in Serum by Neutralization test,Coxsackievirus B6 Ab,Titr,Pt,Ser,Qn,Neut
"9513-3",Cytomegalovirus Ab [Titer] in Serum by Complement fixation,Cytomegalovirus Ab,Titr,Pt,Ser,Qn,Comp fix
"26062-0",European tick borne encephalitis virus IgG Ab [Units/volume] in Serum,European tick borne encephalitis virus Ab.IgG,ACnc,Pt,Ser,Qn,
"53533-6",Herpes simplex virus IgG Ab [Presence] in Body fluid by Immunoassay,Herpes simplex virus Ab.IgG,ACnc,Pt,Body fld,Ord,EIA
"5204-3",Herpes simplex virus Ab [Titer] in Serum by Complement fixation,Herpes simplex virus Ab,Titr,Pt,Ser,Qn,Comp fix
"51166-7",CD34 blasts [Units/volume] in Unspecified specimen,Blasts.CD34,ACnc,Pt,XXX,Qn,
"51344-0",CD55 cells/100 cells in Bone marrow,Cells.CD55/100 cells,NFr,Pt,Bone mar,Qn,
"44873-8",HIV 1+2 Ab [Presence] in Serum by Immunoblot (IB),HIV 1+2 Ab,ACnc,Pt,Ser,Ord,IB
"5225-8",HIV 2 Ab [Presence] in Serum by Immunoblot (IB),HIV 2 Ab,ACnc,Pt,Ser,Ord,IB
"9821-0",HIV 1 p24 Ag [Presence] in Serum,HIV 1 p24 Ag,ACnc,Pt,Ser,Ord,
"6432-9",HTLV 1 Ab [Presence] in Serum by Immunoblot (IB),HTLV 1 Ab,ACnc,Pt,Ser,Ord,IB
"5230-8",Influenza virus B Ab [Titer] in Serum by Complement fixation,Influenza virus B Ab,Titr,Pt,Ser,Qn,Comp fix
"1992-7",Calcitonin [Mass/volume] in Serum or Plasma,Calcitonin,MCnc,Pt,Ser/Plas,Qn,
"14688-6",Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma,Dehydroepiandrosterone sulfate,SCnc,Pt,Ser/Plas,Qn,
"58777-4",Peanut recombinant (rAra h) 3 IgE Ab [Units/volume] in Serum,Arachis hypogaea recombinant (rAra h) 3 Ab.IgE,ACnc,Pt,Ser,Qn,
"32018-4",Hepatitis A virus IgG Ab [Presence] in Serum,Hepatitis A virus Ab.IgG,ACnc,Pt,Ser,Ord,
"46406-5",Somatotropin [Mass/volume] in Serum or Plasma --30 minutes post 1 g/kg glucose PO,Somatotropin^30M post 1 g/kg glucose PO,MCnc,Pt,Ser/Plas,Qn,
"7811-3",Astrovirus RNA [Presence] in Serum by Probe and target amplification method,Astrovirus RNA,ACnc,Pt,Ser,Ord,Probe.amp.tar
"1607-1",Osmolality of Urine--12 hours post fluid fast,Osmolality^post 12H FFst,Osmol,Pt,Urine,Qn,
"59182-6",C reactive protein [Mass/volume] in Cerebral spinal fluid by High sensitivity method,C reactive protein,MCnc,Pt,CSF,Qn,High sensitivity
"20506-2",Specimen drawn from,Specimen drawn from,Type,Pt,^Patient,Nom,
"67211-3",TNM pathologic staging - distant metastases - M PhenX,TNM pathologic staging - distant metastases - M,Find,Pt,^Patient,Ord,Phenx
"47026-0",Cytoketatin HMW Ag [Presence] in Tissue by Immune stain,Cytokeratin HMW Ag,ACnc,Pt,Tiss,Ord,Immune stain
"29603-8",CD5 Ag [Presence] in Tissue by Immune stain,CD5 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"10469-5",Carcinoembryonic Ag [Presence] in Tissue by Immune stain,Carcinoembryonic Ag,ACnc,Pt,Tiss,Ord,Immune stain
"47025-2",Cytokeratin 5/6 Ag [Presence] in Tissue by Immune stain,Cytokeratin 5+6 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"56574-7",Renin [Enzymatic activity/volume] in Plasma --1 hour post XXX challenge,Renin^1H post XXX challenge,CCnc,Pt,Plas,Qn,
"21673-9",F8 gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal,F8 gene mutations tested for,Prid,Pt,Bld/Tiss,Nom,Molgen
"10496-8",Immunoglobulin light chains.kappa Ag [Presence] in Tissue by Immune stain,Immunoglobulin light chains.kappa Ag,ACnc,Pt,Tiss,Ord,Immune stain
"10503-1",Lysozyme Ag [Presence] in Tissue by Immune stain,Lysozyme Ag,ACnc,Pt,Tiss,Ord,Immune stain
"58898-8",Renin [Enzymatic activity/volume] in Plasma --4 hours post XXX challenge,Renin^4H post XXX challenge,CCnc,Pt,Plas,Qn,
"1656-8","11-Deoxycorticosterone [Mass/volume] in Serum or Plasma","11-Deoxycorticosterone",MCnc,Pt,Ser/Plas,Qn,
"56556-4","11-Deoxycorticosterone [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge","11-Deoxycorticosterone^30M post XXX challenge",MCnc,Pt,Ser/Plas,Qn,
"35458-9",Ma+Ta Ab [Presence] in Serum,Ma+Ta Ab,ACnc,Pt,Ser,Ord,
"50325-0",MUM-1 Ag [Presence] in Tissue by Immune stain,MUM-1 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"10444-8",CD57 Ag [Presence] in Tissue by Immune stain,CD57 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"14229-9",P53 protein Ag [Presence] in Tissue by Immune stain,P53 protein Ag,ACnc,Pt,Tiss,Ord,Immune stain
"50377-1",von Willebrand factor (vWf).collagen binding activity actual/normal in Platelet poor plasma by Immunoassay,von Willebrand factor.collagen binding activity actual/Normal,RelRto,Pt,PPP,Qn,EIA
"6664-7",Microscopic observation [Identifier] in Tissue by Gram stain,Microscopic observation,Prid,Pt,Tiss,Nom,Gram stain
"10746-6",Calcium.microscopic observation [Identifier] in Tissue by Von Kossa stain,Calcium.microscopic observation,Prid,Pt,Tiss,Nom,Von Kossa stain
"18428-3",Epstein Barr virus nuclear IgG Ab [Presence] in Cerebral spinal fluid,Epstein Barr virus nuclear Ab.IgG,ACnc,Pt,CSF,Ord,
"34701-3",Platelet Ab.heparin induced [Presence] in Serum,Platelet Ab.heparin induced,ACnc,Pt,Ser,Ord,
"40931-8",Yersinia sp Ab [Presence] in Serum,Yersinia sp Ab,ACnc,Pt,Ser,Ord,
"15032-6",Angiotensin II [Moles/volume] in Plasma,Angiotensin II,SCnc,Pt,Plas,Qn,
"38379-4",Mycobacterium tuberculosis complex DNA [Presence] in Unspecified specimen by Probe and target amplification method,Mycobacterium tuberculosis complex DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"33921-8",Signal Recognition Particle (SRP) Ab [Presence] in Serum or Plasma,Signal recognition particle Ab,ACnc,Pt,Ser/Plas,Ord,
"3537-8",Nordiazepam [Mass/volume] in Serum or Plasma,Nordiazepam,MCnc,Pt,Ser/Plas,Qn,
"57692-6",Cortisol [Mass/volume] in Saliva --5th specimen,Cortisol^5th specimen,MCnc,Pt,Saliva,Qn,
"63473-3",Codfish recombinant (rGad c) 1 IgE Ab [Units/volume] in Serum,Gadus morhua recombinant (rGad c) 1 Ab.IgE,ACnc,Pt,Ser,Qn,
"5770-3",Bilirubin [Presence] in Urine by Test strip,Bilirubin,ACnc,Pt,Urine,Ord,Test strip
"20569-0",Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,Creatine kinase.MB/Creatine kinase.total,CFr,Pt,Ser/Plas,Qn,
"5642-4",Ethanol [Presence] in Serum or Plasma,Ethanol,ACnc,Pt,Ser/Plas,Ord,
"5643-2",Ethanol [Mass/volume] in Serum or Plasma,Ethanol,MCnc,Pt,Ser/Plas,Qn,
"5644-0",Ethanol [Presence] in Urine,Ethanol,ACnc,Pt,Urine,Ord,
"5645-7",Ethanol [Mass/volume] in Urine,Ethanol,MCnc,Pt,Urine,Qn,
"21059-1",Albumin [Mass/volume] in 24 hour Urine,Albumin,MCnc,"24H",Urine,Qn,
"44784-7",Creatinine [Mass/volume] in maximum Serum or Plasma,Creatinine,MCnc,Stdy^max,Ser/Plas,Qn,
"14316-4",Benzodiazepines [Presence] in Urine by Screen method,Benzodiazepines,ACnc,Pt,Urine,Ord,Screen
